ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ລະບຸຫລັກສູດສຳລັບຜູ້ໄດ້ຮັບຜົນປະໂຫຍດຕ້ອງການຮຽນ ແລະ ແນະນໍາສູນເຝິກອົບຮົມວິຊາຊີບສະໜອງການຝຶກອົບຮົມດັ່ງກ່າວ ,Identify the desired course the person wants to study and the appropriate TVET to provide the training. 
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ປຶກສາຫາລື ແລະ ວາງແຜນກັບຄອບຄົວກ່ຽວກັບຜົນສະທ້ອນຂອງຜູ້ໄດ້ຮັບຜົນປະໂຫຍດຕໍ່ຄອບຄອບທີ່ຜູ້ກ່ຽວເຂົ້າຝຶກອົບຮົມ,Discuss and plan with the family on the implications of the person doing TVET on the household
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ລົງຢ້ຽມຢາມສູນເຝິກອົບຮົມວິຊາຊີບ  ແລະ ສະພາບແວດລ້ອມຕົວຈິງກ່ອນການຕັດສິນໃຈຂັ້ນສຸດທ້າຍ,Visit the potential TVET and surrounding area before making a final decision
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ໃຫ້ການສະໜັບສະໜູນຜູ້ໄດ້ຮັບຜົນປະໂຫຍດເຕີມແບບຟອມສະໜັກ,Support the person to complete the enrolment application form
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ໃຫ້ການສະໜັບສະໜູນຜູ້ໄດ້ຮັບຜົນປະໂຫຍດກຽມການສອບເສັງເຂົ້າ,Support the person as required to prepare for the entrance examination
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ຖ້າຈຳເປັນໃຫ້ການສະໜັບສະໜູນຜູ້ໄດ້ຮັບຜົນປະໂຫຍດສະໝັກທຶນການສຶກສາ,Support the person to apply for scholarships if needed
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,"ຖ້າຈຳເປັນໃຫ້ການສະໜັບສະໜູນຜູ້ໄດ້ຮັບຜົນປະໂຫຍດຮັບເອົາອຸປະກອນການຮຽນ, ເຄື່ອງມື ແລະ ຊຸດເຄື່ອງແບບ","Support the person to obtain study materials, tools and clothing (uniform) if needed"
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ໃຫ້ການສະໜັບສະໜູນຜູ້ໄດ້ຮັບຜົນປະໂຫຍດ ແລະ ຄອບຄົວເລືອກທີ່ພັກທີ່ເໝາະສົມໃກ້ກັບສູນເຝິກອົບຮົມວິຊາຊີບ,Support the person and family to identify appropriate housing at or near to the TVET
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ຖ້າຈຳເປັນໃຫ້ການສະໜັບສະໜູນຜູ້ໄດ້ຮັບຜົນປະໂຫຍດເປີດບັນຊີທະນາຄານ ໃກ້ກັບສະຖາບັນ ສູນເຝິກອົບຮົມວິຊາຊີບ,Support the person to open a bank account near the TVET if needed
ປັບປຸງການເຂົ້າເຖິງ ອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມຊີຊາຊີບ,Improved access to technical and vocational skills,ນຳສົ່ງສະຖາບັນອາຊີວະສຶກສາ ແລະ ຝຶກອົບຮົມວິຊາຊີບ,Referral to TVET institution,ປຶກສາຫາລືກັບຜູ້ໄດ້ຮັບຜົນປະໂຫຍດ ແລະ ສູນເຝິກອົບຮົມວິຊາຊີບ  ກ່ຽວກັບອຸປະສັກທີ່ອາດເກີດຂຶ້ນຕໍ່ການຮຽນ ແລະ ໄດ້ຮັບເຄື່ອງອຳນວຍຄວາມສະດວກເພື່ອເພີ່ມປະສິດທິພາບໃຫ້ຫ້ອງຮຽນ / ສະຖານທີ່ຝຶກງານ,Discuss with person and TVET any potential barriers to learning and obtain assistive devices to optimize classroom/ workshop areas
